ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12720,Má gà xối mỡ,Má gà xối mỡ,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12721,Gà kho lá chanh,Gà kho lá chanh,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12722,Miến gà,Miến gà măng,Miến vàng,Măng tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12723,Miến gà,Miến gà đùi,Miến vàng,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12724,Má gà nướng,Má gà nướng,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12725,Chả cá thì là,Chả cá thì là,Cá sống,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12727,Giá hẹ chua ngọt,Giá hẹ chua ngọt,Cà rốt,Giá,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12728,Gà kho sả ớt,Gà kho sả ớt,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12729,Gà quay,Gà quay,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12730,Đậu đũa xào,Đậu đũa xào,Đậu đũa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12731,Gỏi bắp cải,Gỏi bắp cải,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12732,Gỏi bò,Gỏi thịt heo trộn chua ngọt,Thịt đùi heo tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12733,Gỏi bò,Gỏi bò tái chua cay,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12734,Gỏi củ hũ dừa,Gỏi củ hũ dừa,Củ hủ dừa,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12735,Gà hấp lá chanh,Gà hấp lá chanh,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12736,Hủ tiếu mì thịt,Hủ tiếu mì thịt bằm,Hủ tiếu tươi,Mì vàng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
